Organism,Antibiotics,Year,R,S
Pseudomonas aeruginosa,Amikacin,2009,630,3674
Pseudomonas aeruginosa,Amikacin,2010,405,2859
Pseudomonas aeruginosa,Amikacin,2011,181,2367
Pseudomonas aeruginosa,Amikacin,2012,259,3567
Pseudomonas aeruginosa,Amikacin,2013,384,4816
Pseudomonas aeruginosa,Amikacin,2014,637,6327
Pseudomonas aeruginosa,Amikacin,2015,552,5953
Pseudomonas aeruginosa,Amikacin,2016,585,6743
Pseudomonas aeruginosa,Amikacin,2017,509,5895
Pseudomonas aeruginosa,Amikacin,2018,575,5092
Pseudomonas aeruginosa,Amikacin,2019,852,7720
Pseudomonas aeruginosa,Amikacin,2020,877,8226
Pseudomonas aeruginosa,Amikacin,2021,853,8916
Pseudomonas aeruginosa,Amikacin,2022,705,8051
Pseudomonas aeruginosa,Cefepime,2004,520,1557
Pseudomonas aeruginosa,Cefepime,2005,535,1717
Pseudomonas aeruginosa,Cefepime,2006,794,2362
Pseudomonas aeruginosa,Cefepime,2007,1012,3081
Pseudomonas aeruginosa,Cefepime,2008,1123,2728
Pseudomonas aeruginosa,Cefepime,2009,1238,3066
Pseudomonas aeruginosa,Cefepime,2010,962,2302
Pseudomonas aeruginosa,Cefepime,2011,606,1942
Pseudomonas aeruginosa,Cefepime,2012,787,3039
Pseudomonas aeruginosa,Cefepime,2013,1177,4023
Pseudomonas aeruginosa,Cefepime,2014,1602,5362
Pseudomonas aeruginosa,Cefepime,2015,1453,5052
Pseudomonas aeruginosa,Cefepime,2016,1571,5757
Pseudomonas aeruginosa,Cefepime,2017,1390,5014
Pseudomonas aeruginosa,Cefepime,2018,1503,5507
Pseudomonas aeruginosa,Cefepime,2019,2278,7951
Pseudomonas aeruginosa,Cefepime,2020,2208,8512
Pseudomonas aeruginosa,Cefepime,2021,2573,8996
Pseudomonas aeruginosa,Cefepime,2022,1981,8277
Pseudomonas aeruginosa,Ceftazidime,2004,434,1643
Pseudomonas aeruginosa,Ceftazidime,2005,482,1770
Pseudomonas aeruginosa,Ceftazidime,2006,714,2442
Pseudomonas aeruginosa,Ceftazidime,2007,1026,3067
Pseudomonas aeruginosa,Ceftazidime,2008,1293,2558
Pseudomonas aeruginosa,Ceftazidime,2009,1491,2813
Pseudomonas aeruginosa,Ceftazidime,2010,1134,2130
Pseudomonas aeruginosa,Ceftazidime,2011,510,2038
Pseudomonas aeruginosa,Ceftazidime,2012,723,3103
Pseudomonas aeruginosa,Ceftazidime,2013,1084,4116
Pseudomonas aeruginosa,Ceftazidime,2014,1539,5425
Pseudomonas aeruginosa,Ceftazidime,2015,1467,5038
Pseudomonas aeruginosa,Ceftazidime,2016,1564,5764
Pseudomonas aeruginosa,Ceftazidime,2017,1377,5027
Pseudomonas aeruginosa,Ceftazidime,2018,1667,5343
Pseudomonas aeruginosa,Ceftazidime,2019,2456,7773
Pseudomonas aeruginosa,Ceftazidime,2020,2425,8295
Pseudomonas aeruginosa,Ceftazidime,2021,2646,8923
Pseudomonas aeruginosa,Ceftazidime,2022,2169,8089
Pseudomonas aeruginosa,Imipenem,2004,468,1591
Pseudomonas aeruginosa,Imipenem,2005,504,1695
Pseudomonas aeruginosa,Imipenem,2006,496,1451
Pseudomonas aeruginosa,Imipenem,2007,23,77
Pseudomonas aeruginosa,Imipenem,2012,556,1002
Pseudomonas aeruginosa,Imipenem,2013,847,1361
Pseudomonas aeruginosa,Imipenem,2014,1742,2674
Pseudomonas aeruginosa,Imipenem,2015,1438,2517
Pseudomonas aeruginosa,Imipenem,2016,1518,3097
Pseudomonas aeruginosa,Imipenem,2017,1373,2822
Pseudomonas aeruginosa,Imipenem,2018,2701,4309
Pseudomonas aeruginosa,Imipenem,2019,3857,6372
Pseudomonas aeruginosa,Imipenem,2020,4208,6512
Pseudomonas aeruginosa,Imipenem,2021,3981,7588
Pseudomonas aeruginosa,Imipenem,2022,3387,6869
Pseudomonas aeruginosa,Levofloxacin,2004,955,1122
Pseudomonas aeruginosa,Levofloxacin,2005,1025,1227
Pseudomonas aeruginosa,Levofloxacin,2006,1410,1746
Pseudomonas aeruginosa,Levofloxacin,2007,1813,2280
Pseudomonas aeruginosa,Levofloxacin,2008,1877,1974
Pseudomonas aeruginosa,Levofloxacin,2009,2057,2247
Pseudomonas aeruginosa,Levofloxacin,2010,1551,1713
Pseudomonas aeruginosa,Levofloxacin,2011,1043,1505
Pseudomonas aeruginosa,Levofloxacin,2012,1447,2379
Pseudomonas aeruginosa,Levofloxacin,2013,1989,3211
Pseudomonas aeruginosa,Levofloxacin,2014,2651,4313
Pseudomonas aeruginosa,Levofloxacin,2015,2553,3952
Pseudomonas aeruginosa,Levofloxacin,2016,2796,4532
Pseudomonas aeruginosa,Levofloxacin,2017,2241,4163
Pseudomonas aeruginosa,Levofloxacin,2018,1995,3672
Pseudomonas aeruginosa,Levofloxacin,2019,2919,5653
Pseudomonas aeruginosa,Levofloxacin,2020,2947,6156
Pseudomonas aeruginosa,Levofloxacin,2021,3032,6737
Pseudomonas aeruginosa,Levofloxacin,2022,2465,6288
Pseudomonas aeruginosa,Meropenem,2004,12,6
Pseudomonas aeruginosa,Meropenem,2005,22,31
Pseudomonas aeruginosa,Meropenem,2006,372,837
Pseudomonas aeruginosa,Meropenem,2007,1082,2911
Pseudomonas aeruginosa,Meropenem,2008,1244,2607
Pseudomonas aeruginosa,Meropenem,2009,1440,2864
Pseudomonas aeruginosa,Meropenem,2010,1032,2232
Pseudomonas aeruginosa,Meropenem,2011,734,1814
Pseudomonas aeruginosa,Meropenem,2012,1067,2759
Pseudomonas aeruginosa,Meropenem,2013,1431,3769
Pseudomonas aeruginosa,Meropenem,2014,1981,4983
Pseudomonas aeruginosa,Meropenem,2015,1874,4631
Pseudomonas aeruginosa,Meropenem,2016,2042,5286
Pseudomonas aeruginosa,Meropenem,2017,1701,4703
Pseudomonas aeruginosa,Meropenem,2018,1848,5162
Pseudomonas aeruginosa,Meropenem,2019,2716,7513
Pseudomonas aeruginosa,Meropenem,2020,2650,8070
Pseudomonas aeruginosa,Meropenem,2021,3021,8548
Pseudomonas aeruginosa,Meropenem,2022,2287,7971
Pseudomonas aeruginosa,Minocycline,2004,1985,92
Pseudomonas aeruginosa,Minocycline,2005,2126,126
Pseudomonas aeruginosa,Minocycline,2006,2964,192
Pseudomonas aeruginosa,Minocycline,2007,3810,283
Pseudomonas aeruginosa,Minocycline,2008,3633,218
Pseudomonas aeruginosa,Minocycline,2009,4067,237
Pseudomonas aeruginosa,Minocycline,2010,3081,183
Pseudomonas aeruginosa,Minocycline,2011,2339,209
Pseudomonas aeruginosa,Minocycline,2012,2053,215
Pseudomonas aeruginosa,Minocycline,2013,2715,277
Pseudomonas aeruginosa,Minocycline,2014,2347,201
Pseudomonas aeruginosa,Minocycline,2015,2363,187
Pseudomonas aeruginosa,Minocycline,2016,2451,262
Pseudomonas aeruginosa,Minocycline,2017,1958,251
Pseudomonas aeruginosa,Piperacillin tazobactam,,,
Pseudomonas aeruginosa,Piperacillin tazobactam,2004,447,1630
Pseudomonas aeruginosa,Piperacillin tazobactam,2005,473,1779
Pseudomonas aeruginosa,Piperacillin tazobactam,2006,693,2463
Pseudomonas aeruginosa,Piperacillin tazobactam,2007,1002,3091
Pseudomonas aeruginosa,Piperacillin tazobactam,2008,1337,2514
Pseudomonas aeruginosa,Piperacillin tazobactam,2009,1504,2800
Pseudomonas aeruginosa,Piperacillin tazobactam,2010,1151,2113
Pseudomonas aeruginosa,Piperacillin tazobactam,2011,580,1968
Pseudomonas aeruginosa,Piperacillin tazobactam,2012,850,2976
Pseudomonas aeruginosa,Piperacillin tazobactam,2013,1289,3911
Pseudomonas aeruginosa,Piperacillin tazobactam,2014,1992,4972
Pseudomonas aeruginosa,Piperacillin tazobactam,2015,1781,4724
Pseudomonas aeruginosa,Piperacillin tazobactam,2016,1947,5381
Pseudomonas aeruginosa,Piperacillin tazobactam,2017,1477,4927
Pseudomonas aeruginosa,Piperacillin tazobactam,2018,1838,5172
Pseudomonas aeruginosa,Piperacillin tazobactam,2019,3001,7228
Pseudomonas aeruginosa,Piperacillin tazobactam,2020,2782,7938
Pseudomonas aeruginosa,Piperacillin tazobactam,2021,3249,8320
Pseudomonas aeruginosa,Piperacillin tazobactam,2022,2553,7705
Pseudomonas aeruginosa,Aztreonam,2012,518,1040
Pseudomonas aeruginosa,Aztreonam,2013,1046,1162
Pseudomonas aeruginosa,Aztreonam,2014,1603,2813
Pseudomonas aeruginosa,Aztreonam,2015,1507,2448
Pseudomonas aeruginosa,Aztreonam,2016,1596,3019
Pseudomonas aeruginosa,Aztreonam,2017,1439,2756
Pseudomonas aeruginosa,Aztreonam,2018,1950,3717
Pseudomonas aeruginosa,Aztreonam,2019,2827,5745
Pseudomonas aeruginosa,Aztreonam,2020,2971,6132
Pseudomonas aeruginosa,Aztreonam,2021,3090,6679
Pseudomonas aeruginosa,Aztreonam,2022,2624,6132
Pseudomonas aeruginosa,Aztreonam avibactam,2012,356,1202
Pseudomonas aeruginosa,Aztreonam avibactam,2013,638,1570
Pseudomonas aeruginosa,Aztreonam avibactam,2014,1129,3287
Pseudomonas aeruginosa,Aztreonam avibactam,2015,1069,2763
Pseudomonas aeruginosa,Aztreonam avibactam,2016,1001,3390
Pseudomonas aeruginosa,Aztreonam avibactam,2017,888,3154
Pseudomonas aeruginosa,Aztreonam avibactam,2018,1092,4074
Pseudomonas aeruginosa,Aztreonam avibactam,2019,1907,6665
Pseudomonas aeruginosa,Aztreonam avibactam,2020,2046,7057
Pseudomonas aeruginosa,Aztreonam avibactam,2021,2098,7671
Pseudomonas aeruginosa,Aztreonam avibactam,2022,1812,6944
Pseudomonas aeruginosa,Ceftaroline,2012,808,750
Pseudomonas aeruginosa,Ceftaroline,2013,1394,814
Pseudomonas aeruginosa,Ceftaroline,2014,2970,1446
Pseudomonas aeruginosa,Ceftaroline,2015,2669,1286
Pseudomonas aeruginosa,Ceftaroline,2016,2871,1744
Pseudomonas aeruginosa,Ceftaroline,2017,2930,1265
Pseudomonas aeruginosa,Ceftaroline,2018,0,5667
Pseudomonas aeruginosa,Ceftaroline,2019,0,8572
Pseudomonas aeruginosa,Ceftaroline,2020,0,9103
Pseudomonas aeruginosa,Ceftaroline,2021,0,9769
Pseudomonas aeruginosa,Ceftaroline,2022,0,8756
Pseudomonas aeruginosa,Ceftazidime avibactam,2012,44,1514
Pseudomonas aeruginosa,Ceftazidime avibactam,2013,184,2024
Pseudomonas aeruginosa,Ceftazidime avibactam,2014,391,4025
Pseudomonas aeruginosa,Ceftazidime avibactam,2015,338,3617
Pseudomonas aeruginosa,Ceftazidime avibactam,2016,374,4241
Pseudomonas aeruginosa,Ceftazidime avibactam,2017,338,3857
Pseudomonas aeruginosa,Ceftazidime avibactam,2018,545,5122
Pseudomonas aeruginosa,Ceftazidime avibactam,2019,728,7844
Pseudomonas aeruginosa,Ceftazidime avibactam,2020,885,8218
Pseudomonas aeruginosa,Ceftazidime avibactam,2021,925,8844
Pseudomonas aeruginosa,Ceftazidime avibactam,2022,775,7981
Pseudomonas aeruginosa,Ciprofloxacin,2018,1902,5108
Pseudomonas aeruginosa,Ciprofloxacin,2019,2752,7477
Pseudomonas aeruginosa,Ciprofloxacin,2020,2475,8245
Pseudomonas aeruginosa,Ciprofloxacin,2021,2591,8978
Pseudomonas aeruginosa,Ciprofloxacin,2022,2093,8163
Pseudomonas aeruginosa,Doripenem,2012,355,1203
Pseudomonas aeruginosa,Doripenem,2013,537,1670
Pseudomonas aeruginosa,Doripenem,2014,1163,3253
Pseudomonas aeruginosa,Doripenem,2015,1031,2924
Pseudomonas aeruginosa,Doripenem,2016,1174,3441
Pseudomonas aeruginosa,Doripenem,2017,990,3205
Pseudomonas aeruginosa,Gentamicin,2018,1286,5724
Pseudomonas aeruginosa,Gentamicin,2019,1994,8235
Pseudomonas aeruginosa,Gentamicin,2020,1666,9054
Pseudomonas aeruginosa,Gentamicin,2021,1813,9756
Pseudomonas aeruginosa,Gentamicin,2022,1503,8755
Pseudomonas aeruginosa,Trimethoprim sulfa,2018,1561,4106
Pseudomonas aeruginosa,Trimethoprim sulfa,2019,2270,6302
Pseudomonas aeruginosa,Trimethoprim sulfa,2020,2083,7020
Pseudomonas aeruginosa,Trimethoprim sulfa,2021,1993,7776
Pseudomonas aeruginosa,Trimethoprim sulfa,2022,1486,7270
